Run:Fill,LS,HLTpath,L1bit,HLTpresc,L1presc,Recorded(/ub),Effective(/ub)
200473:2927,300:300,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,103117.905177,0.0689313848572
200473:2927,301:301,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,104598.766121,0.0699212982523
200473:2927,302:302,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,105048.423451,0.0702218813803
200473:2927,303:303,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,103888.64863,0.06944660492
200473:2927,304:304,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,102504.128657,0.0685210927214
200473:2927,306:306,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,103852.901528,0.0694227089997
200473:2927,307:307,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,103092.103531,0.0689141371911
200473:2927,308:308,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,102777.710231,0.0687039742179
200473:2927,309:309,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,103476.067051,0.0691708058766
200473:2927,310:310,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,101930.57287,0.0681376870018
200473:2927,311:311,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,102102.841722,0.0682528438263
200473:2927,312:312,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,103354.331094,0.069089428854
200473:2927,313:313,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,102039.214138,0.0682103105973
200473:2927,314:314,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,101797.346656,0.0680486290694
200473:2927,315:315,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,103582.592889,0.0692420153673
200473:2927,316:316,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,101458.91504,0.0678223971659
200473:2927,317:317,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,101864.499746,0.0680935189987
200473:2927,318:318,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,101146.617071,0.0676136348618
200473:2927,319:319,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,101936.017186,0.0681413263721
200473:2927,320:320,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,101505.310679,0.0678534113301
200473:2927,321:321,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,103150.843585,0.0689534032457
200473:2927,322:322,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,102383.220633,0.0684402691484
200473:2927,323:323,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,101544.511678,0.0678796160818
200473:2927,324:324,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,103097.056029,0.0689174477951
200473:2927,325:325,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,100765.966785,0.0673591809786
200473:2927,326:326,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,100951.887666,0.0674834637963
200473:2927,327:327,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,103682.240517,0.0693086269707
200473:2927,328:328,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,101970.60676,0.0681644485179
200473:2927,329:329,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,101790.803178,0.0680442549406
200473:2927,330:330,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,100209.962365,0.0669875078477
200473:2927,331:331,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,100093.282976,0.0669095109968
200473:2927,332:332,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,100817.918469,0.067393909201
200473:2927,333:333,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,101344.997496,0.0677462465294
200473:2927,334:334,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,99804.5042055,0.0667164706076
200473:2927,335:335,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,101258.659924,0.0676885323197
200473:2927,336:336,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,101930.978317,0.0681379580311
200473:2927,337:337,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,101923.518404,0.0681329712917
200473:2927,338:338,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,99407.6585367,0.0664511905723
200473:2927,339:339,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,100837.549659,0.0674070320924
200473:2927,340:340,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,99905.0516299,0.0667836836992
200473:2927,341:341,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,98966.69311,0.0661564177346
200473:2927,342:342,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,99332.5909185,0.066401010006
200473:2927,343:343,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,99510.6345831,0.0665200271287
200473:2927,344:344,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,100345.708312,0.0670782501504
200473:2927,345:345,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,99928.5163502,0.066799369197
200473:2927,346:346,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,102229.838192,0.0683377373523
200473:2927,347:347,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,99915.7040461,0.0667908045363
200473:2927,348:348,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,98973.359099,0.0661608737585
200473:2927,349:349,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,98016.3464329,0.065521138028
200473:2927,350:350,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,99179.7355049,0.0662988305123
200473:2927,351:351,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,99182.9848886,0.0663010026328
200473:2927,352:352,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,99183.1229727,0.0663010949381
200473:2927,353:353,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,99175.3014627,0.0662958664813
200473:2927,354:354,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,100350.126545,0.0670812036132
200473:2927,355:355,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,101065.306242,0.0675592808861
200473:2927,356:356,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,99123.5424169,0.0662612670323
200473:2927,357:357,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,99317.2526606,0.0663907568172
